# time	energy_lowpass
23.220000	-47.803426
23.230000	-47.996647
23.240000	-48.210617
23.250000	-48.449247
23.260000	-48.694542
23.270000	-48.955545
23.280000	-49.216176
23.290000	-49.475066
23.300000	-49.748245
23.310000	-50.032484
23.320000	-50.300914
23.330000	-50.553365
23.340000	-50.800708
23.350000	-51.036274
23.360000	-51.279994
23.370000	-51.533158
23.380000	-51.780343
23.390000	-52.025985
23.400000	-52.254200
23.410000	-52.461613
23.420000	-52.658782
23.430000	-52.840616
23.440000	-53.012448
23.450000	-53.174734
23.460000	-53.320024
23.470000	-53.449073
23.480000	-53.578759
23.490000	-53.709182
23.500000	-53.832351
23.510000	-53.952274
23.520000	-54.056693
23.530000	-54.144392
23.540000	-54.224567
23.550000	-54.294213
23.560000	-54.358211
23.570000	-54.417875
23.580000	-54.468564
23.590000	-54.511782
23.600000	-54.546511
23.610000	-54.572261
23.620000	-54.590817
23.630000	-54.601867
23.640000	-54.597756
23.650000	-54.577998
23.660000	-54.545972
23.670000	-54.499586
23.680000	-54.443532
23.690000	-54.378026
23.700000	-54.298873
23.710000	-54.206983
23.720000	-54.114925
23.730000	-54.023344
23.740000	-53.926858
23.750000	-53.828852
23.760000	-53.720882
23.770000	-53.602528
23.780000	-53.480961
23.790000	-53.354463
23.800000	-53.215287
23.810000	-53.063651
23.820000	-52.902147
23.830000	-52.728911
23.840000	-52.550407
23.850000	-52.366974
23.860000	-52.173872
23.870000	-51.972536
23.880000	-51.753233
23.890000	-51.514463
23.900000	-51.261811
23.910000	-50.992328
23.920000	-50.710430
23.930000	-50.416389
23.940000	-50.105285
23.950000	-49.777872
23.960000	-49.442680
23.970000	-49.099648
23.980000	-48.745007
23.990000	-48.380764
24.000000	-48.000428
24.010000	-47.603413
24.020000	-47.194502
24.030000	-46.772122
24.040000	-46.416692
24.050000	-46.136907
24.060000	-45.893952
24.070000	-45.711294
24.080000	-45.543875
24.090000	-45.389944
24.100000	-45.293495
24.110000	-45.246487
24.120000	-45.189221
24.130000	-45.123237
24.140000	-45.073120
24.150000	-45.025151
24.160000	-45.027690
24.170000	-45.084863
24.180000	-45.162161
24.190000	-45.271333
24.200000	-45.358857
24.210000	-45.416427
24.220000	-45.478376
24.230000	-45.529017
24.240000	-45.592261
24.250000	-45.670879
24.260000	-45.739075
24.270000	-45.801766
24.280000	-45.911899
24.290000	-46.070613
24.300000	-46.255663
24.310000	-46.480497
24.320000	-46.707717
24.330000	-46.934951
24.340000	-47.192105
24.350000	-47.471023
24.360000	-47.651364
24.370000	-47.724376
24.380000	-47.740766
24.390000	-47.666601
24.400000	-47.578309
24.410000	-47.478237
24.420000	-47.297460
24.430000	-47.050117
24.440000	-46.812015
24.450000	-46.579781
24.460000	-46.324863
24.470000	-46.064330
24.480000	-45.733054
24.490000	-45.325895
24.500000	-44.888116
24.510000	-44.403947
24.520000	-43.966103
24.530000	-43.587603
24.540000	-43.212527
24.550000	-42.867846
24.560000	-42.509309
24.570000	-42.132645
24.580000	-41.783871
24.590000	-41.454103
24.600000	-41.058403
24.610000	-40.595682
24.620000	-40.101179
24.630000	-39.553645
24.640000	-39.014735
24.650000	-38.488518
24.660000	-37.926698
24.670000	-37.342955
24.680000	-36.839056
24.690000	-36.419909
24.700000	-36.047525
24.710000	-35.749990
24.720000	-35.457249
24.730000	-35.167669
24.740000	-34.941603
24.750000	-34.765955
24.760000	-34.585077
24.770000	-34.402640
24.780000	-34.237895
24.790000	-34.078692
24.800000	-33.975845
24.810000	-33.933226
24.820000	-33.916623
24.830000	-33.938431
24.840000	-33.911461
24.850000	-33.824381
24.860000	-33.727995
24.870000	-33.597161
24.880000	-33.475339
24.890000	-33.366404
24.900000	-33.226396
24.910000	-33.064043
24.920000	-32.955702
24.930000	-32.902046
24.940000	-32.871892
24.950000	-32.884253
